"player","song","artist","album","song_clean","artist_clean","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","raw_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","last","first","name","single_rate","double_rate","triple_rate","homerun_rate","tempo_bin","valence_bin"
"Trevor Larnach","Disciples","Tame Impala","Currents","disciples","tame impala","Rock","Tame Impala","Disciples","2gNfxysfBRfl9Lvi9T3v6R",63,0.078,0.661,108547,0.869,0.924,"F",0.398,-5.477,"Major",0.0334,126.971,"4/4",0.8,"Larnach, Trevor",663616,2025,567,126,84,24,1,17,0.25,0.404,0.323,0.727,34.9,7.2,45.7,101.351578402,95.134984031,29.8,44.5,"Larnach","Trevor","Trevor Larnach",0.148148148148148,0.0423280423280423,0.0017636684303351,0.0299823633156966,"Fast (120+ BPM)","Happy"
"James Outman","Back In Black","AC/DC","Back In Black","back in black","ac/dc","Rock","AC/DC","Back In Black","08mG3Y1vljYA6bvDt4Wqkj",83,0.011,0.31,255493,0.7,0.00965,"A",0.0828,-5.678,"Major",0.047,188.386,"4/4",0.763,"Outman, James",681546,2025,148,18,6,5,1,6,0.134,0.321,0.216,0.537,28.2,16.9,39.4,100.988622,94.538542857,40.4,47.4,"Outman","James","James Outman",0.0405405405405405,0.0337837837837838,0.00675675675675676,0.0405405405405405,"Fast (120+ BPM)","Happy"
"Alan Roden","Schemin Up (feat. Drake and P. Reign)","OB OBrien","Schemin Up (feat. Drake and P. Reign)","schemin up (feat. drake and p. reign)","ob obrien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roden, Alan",702176,2025,153,26,17,6,1,2,0.191,0.294,0.261,0.555,20.6,2,30.4,97.826416863,92.978674653,23.8,47.2,"Roden","Alan","Alan Roden",0.111111111111111,0.0392156862745098,0.0065359477124183,0.0130718954248366,"Fast (120+ BPM)","Happy"
"Matt Wallner","It's Only Rock'n'Roll (But I Like It) - Remastered 2009","The Rolling Stones","It's Only Rock 'N' Roll (2009 Re-Mastered)","it's only rock'n'roll (but i like it) - remastered 2009","the rolling stones","Rock","The Rolling Stones","It's Only Rock'n'Roll (But I Like It) - Remastered 2009","668YgsnvdNBHfRscNIBS31",56,0.499,0.615,307440,0.954,0.00783,"A",0.319,-3.886,"Major",0.0476,128.434,"4/4",0.838,"Wallner, Matt",670242,2025,392,68,27,16,3,22,0.202,0.464,0.311,0.775,33.9,13.8,45.5,102.7851575,95.761244395,35.5,50.5,"Wallner","Matt","Matt Wallner",0.0688775510204082,0.0408163265306122,0.0076530612244898,0.0561224489795918,"Fast (120+ BPM)","Happy"
"Ozzie Albies","La Forma en Que Me Miras","Super Yei, Sammy Baby","La Forma en Que Me Miras","la forma en que me miras","super yei, sammy baby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albies, Ozzie",645277,2025,667,145,104,23,2,16,0.24,0.365,0.306,0.671,33.5,4.9,30.7,96.947639144,92.546234163,20.8,54.1,"Albies","Ozzie","Ozzie Albies",0.15592203898051,0.0344827586206897,0.00299850074962519,0.0239880059970015,"Fast (120+ BPM)","Happy"
"Vidal Bruján","Si Tu Supieras","Jey One","Si Tu Supieras","si tu supieras","jey one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bruján, Vidal",660644,2025,95,22,17,5,0,0,0.253,0.31,0.305,0.615,35.8,0,37.3,97.437229697,92.921739545,23.4,53.3,"Bruján","Vidal","Vidal Bruján",0.178947368421053,0.0526315789473684,0,0,"Fast (120+ BPM)","Happy"
"Mauricio Dubón","No Se Va - EN VIVO","Grupo Frontera","No Se Va (EN VIVO)","no se va - en vivo","grupo frontera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dubón, Mauricio",643289,2025,398,89,61,21,0,7,0.241,0.355,0.289,0.644,31.7,1.2,26.3,95.584607,91.821087031,15.8,54.2,"Dubón","Mauricio","Mauricio Dubón",0.153266331658291,0.0527638190954774,0,0.0175879396984925,"Fast (120+ BPM)","Happy"
"Michael Harris II","Make It Rain","Travis Porter","From Day 1","make it rain","travis porter","Hip-Hop","Travis Porter","Make It Rain","50p9gmJMwsz3zyAwoF0FEv",57,0.078,0.926,239493,0.69,0,"C#",0.228,-4.327,"Minor",0.175,128.952,"4/4",0.387,"Harris II, Michael",671739,2025,641,152,100,26,6,20,0.249,0.409,0.268,0.677,29.6,9.1,43.4,103.013806132,95.674311175,24.4,57,"Harris II","Michael","Michael Harris II",0.15600624024961,0.0405616224648986,0.0093603744149766,0.031201248049922,"Fast (120+ BPM)","Neutral"
"Sean Murphy","Long Cool Woman (In a Black Dress)","The Hollies","Greatest Hits","long cool woman (in a black dress)","the hollies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murphy, Sean",669221,2025,337,58,29,13,0,16,0.199,0.409,0.3,0.709,30.2,13.2,43.1,102.033985426,95.22279861,32.3,47.9,"Murphy","Sean","Sean Murphy",0.086053412462908,0.0385756676557863,0,0.0474777448071217,"Fast (120+ BPM)","Happy"
"Matt Olson","Halloween Theme","John Carpenter, Cody Carpenter, Daniel Davies","Halloween (Original 2018 Motion Picture Soundtrack)","halloween theme","john carpenter, cody carpenter, daniel davies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olson, Matt",621566,2025,724,170,98,41,2,29,0.272,0.484,0.366,0.85,37.1,14.3,53.3,103.816455133,96.735765819,26.2,45.3,"Olson","Matt","Matt Olson",0.135359116022099,0.0566298342541436,0.00276243093922652,0.0400552486187845,"Fast (120+ BPM)","Happy"
